LSOA11CD,Borough,All categories: Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E01000164,Barnet ,782,86.0,111.0,205.0,160.0,14.0,5.0,5.0,7.0,89.0,100.0,6040.5,10.2
E01000165,Barnet ,1005,41.0,197.0,244.0,290.0,25.0,10.0,4.0,6.0,84.0,104.0,8414.0,10.3
E01000166,Barnet ,731,49.0,95.0,146.0,237.0,31.0,12.0,4.0,4.0,71.0,82.0,7419.3,12.8
E01000167,Barnet ,627,66.0,104.0,128.0,172.0,19.0,7.0,3.0,7.0,48.0,73.0,5551.1,11.0
E01000168,Barnet ,728,68.0,90.0,125.0,238.0,22.0,8.0,5.0,9.0,104.0,59.0,7198.5,12.7
E01000169,Barnet ,812,60.0,107.0,124.0,290.0,24.0,14.0,11.0,14.0,73.0,95.0,9491.7,14.7
E01000170,Barnet ,776,60.0,108.0,150.0,248.0,12.0,14.0,5.0,9.0,85.0,85.0,7187.7,11.9
E01000171,Barnet ,969,107.0,106.0,165.0,361.0,24.0,12.0,8.0,8.0,69.0,109.0,9803.4,12.4
E01000172,Barnet ,753,82.0,106.0,121.0,232.0,18.0,8.0,2.0,16.0,87.0,81.0,7375.4,12.6
E01000173,Barnet ,851,98.0,131.0,150.0,252.0,18.0,5.0,5.0,12.0,82.0,98.0,8492.8,12.7
E01000174,Barnet ,822,107.0,100.0,124.0,274.0,22.0,10.0,2.0,13.0,76.0,94.0,9918.8,15.2
E01000175,Barnet ,777,84.0,102.0,125.0,262.0,12.0,10.0,7.0,7.0,81.0,87.0,7221.3,11.9
E01000176,Barnet ,706,81.0,119.0,187.0,141.0,17.0,10.0,7.0,3.0,64.0,77.0,5128.1,9.1
E01000177,Barnet ,995,66.0,103.0,343.0,238.0,26.0,5.0,6.0,10.0,95.0,103.0,8853.2,11.1
E01000178,Barnet ,904,61.0,117.0,301.0,194.0,11.0,4.0,3.0,6.0,111.0,96.0,6471.3,9.3
E01000179,Barnet ,1029,65.0,104.0,350.0,241.0,25.0,16.0,9.0,14.0,93.0,112.0,10465.1,12.7
E01000180,Barnet ,809,58.0,94.0,275.0,160.0,22.0,7.0,4.0,16.0,73.0,100.0,7595.6,11.9
E01000181,Barnet ,1007,46.0,109.0,381.0,196.0,14.0,7.0,5.0,18.0,123.0,108.0,9275.9,12.0
E01000182,Barnet ,982,44.0,105.0,440.0,135.0,34.0,4.0,9.0,13.0,97.0,101.0,8705.4,11.1
E01000183,Barnet ,745,35.0,87.0,261.0,146.0,15.0,6.0,4.0,13.0,123.0,55.0,6976.8,12.3
E01000184,Barnet ,608,74.0,91.0,146.0,130.0,12.0,3.0,4.0,7.0,48.0,93.0,4829.8,10.3
E01000185,Barnet ,618,67.0,65.0,182.0,117.0,13.0,4.0,5.0,8.0,56.0,101.0,4694.3,10.2
E01000186,Barnet ,759,84.0,77.0,127.0,237.0,19.0,9.0,3.0,14.0,131.0,58.0,7908.1,13.9
E01000187,Barnet ,705,57.0,100.0,139.0,178.0,28.0,6.0,4.0,6.0,95.0,92.0,5904.7,11.4
E01000188,Barnet ,813,59.0,116.0,143.0,226.0,24.0,10.0,4.0,9.0,137.0,85.0,7639.6,12.9
E01000189,Barnet ,679,73.0,77.0,167.0,188.0,24.0,4.0,10.0,10.0,45.0,81.0,6644.2,12.0
