LSOA21CD,Borough,Total: All households,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
E01000190,Barnet ,569,5.0,13.0,71.0,89.0,200.0,113.0,57.0,13.0,8.0
E01000191,Barnet ,555,2.0,13.0,150.0,43.0,154.0,124.0,48.0,14.0,7.0
E01000158,Barnet ,547,17.0,88.0,145.0,78.0,147.0,43.0,17.0,7.0,5.0
E01000159,Barnet ,649,2.0,60.0,130.0,70.0,252.0,91.0,32.0,8.0,4.0
E01000160,Barnet ,802,22.0,130.0,275.0,131.0,164.0,64.0,11.0,5.0,0.0
E01000161,Barnet ,808,21.0,140.0,310.0,89.0,182.0,46.0,8.0,8.0,4.0
E01000162,Barnet ,549,17.0,41.0,90.0,55.0,310.0,29.0,6.0,0.0,1.0
E01000324,Barnet ,649,8.0,38.0,167.0,46.0,278.0,89.0,13.0,6.0,4.0
E01000256,Barnet ,680,1.0,33.0,176.0,85.0,223.0,82.0,46.0,16.0,18.0
E01000258,Barnet ,784,7.0,77.0,218.0,84.0,193.0,95.0,76.0,13.0,21.0
E01000263,Barnet ,501,0.0,3.0,15.0,28.0,161.0,117.0,64.0,63.0,50.0
E01000264,Barnet ,713,30.0,120.0,186.0,73.0,137.0,71.0,31.0,45.0,20.0
E01000255,Barnet ,632,3.0,59.0,121.0,196.0,153.0,49.0,13.0,16.0,22.0
E01000257,Barnet ,912,6.0,234.0,428.0,169.0,49.0,15.0,8.0,3.0,0.0
E01000261,Barnet ,675,4.0,158.0,92.0,67.0,193.0,83.0,40.0,19.0,19.0
E01033911,Barnet ,651,2.0,22.0,93.0,120.0,292.0,56.0,30.0,19.0,17.0
E01033912,Barnet ,637,3.0,89.0,208.0,142.0,115.0,71.0,7.0,2.0,0.0
